Gates	Layers	Fcalls	E0	Overlap
176650	25	9450	-3.024714401132444	0.0025304238879192207
105936	25	5932	-3.0791583690893107	0.01226137362384865
155330	26	8273	-1.544990661989537	0.015390571066182353
142742	25	7898	-4.300733294011744	0.044507778023429326
115334	25	6527	-3.1171370873159225	0.033974370167891156
218008	25	10908	-5.9034100117611485	0.11434877485270165
209372	26	11113	-4.8326693982321105	0.011984938147220877
147548	25	7605	-2.4262324156166386	0.15937151830991264
153104	26	8138	-2.519507589600977	0.00036445620326655635
92990	24	5474	-3.50790856514985	0.040486747388012265
131874	26	6920	-0.7120541816093402	0.02801924219117215
131316	25	6987	-2.339131698860259	0.07004116047877695
119480	25	6528	-3.3869824892052844	0.07832548495267569
124546	26	6536	-1.6216677434961204	0.006048829516422586
192540	25	10160	-6.416151927983689	0.23688321026023215
112948	24	6407	-5.584085665802695	0.0038503699220782447
213358	25	10378	-6.028209651610544	0.0045133205356364435
148534	26	7844	-1.4838535839717553	0.0022146077841582643
127660	25	6893	0.490131316742023	0.03764093309411755
154064	26	7807	-1.0856057533243362	0.0013923991013091149
130896	25	7061	-3.55581005547736	0.0015833763999711552
249310	26	12414	-3.265605023762608	0.015816897970474315
183018	27	9302	-5.606776205020043	0.05498621523034592
205120	27	10022	-4.1036205580190295	0.0025084682014241406
160342	25	8291	-0.576760288395259	0.00807611993337241
168260	25	8982	-4.816696377016766	0.013456226151564474
192542	26	10101	-2.848852160952419	0.024424669538975412
141240	25	7469	-2.912363778132941	0.017820955419273355
120024	24	6668	-4.881710473512435	0.10403523323542947
107946	24	6340	-5.596589894200577	0.009608565940793295
195634	26	10036	0.10028728360329676	0.008955126154493022
117016	26	6283	-3.167639127477578	0.08723875367087071
96118	23	5750	-4.616755849332414	0.0612055805111159
204860	26	10310	-3.295528704641658	0.04311300114005239
110678	25	6207	-3.544881259062956	0.018121581476562267
71970	24	4152	-6.309454403465157	0.19426495822271733
237352	27	11045	-4.178188618214672	0.0340603365537548
131716	26	7137	-2.284807291047434	0.1702173475858564
132244	23	7332	-3.423310688569257	0.014201315089600926
116098	26	6487	-1.0643812144986908	0.020908786112208817
255410	27	12648	-3.8332074643461556	0.005490627359156822
191350	26	9731	-2.6357504172431043	0.008937056471569078
103852	24	6004	-3.4168023569047983	0.09987901774845746
215450	27	10409	-1.701193120414469	0.07346625190450717
257802	27	12409	-1.826462827404055	0.0068985072467154535
97710	25	5526	-4.635625341459334	0.11817766817460922
111148	24	6187	-3.772996681152346	0.00044725112154452316
136082	27	7074	-6.952943180480742	0.023568473795251076
228878	27	10711	-2.8351678602185744	0.008370113350836351
161942	26	8598	-3.0584225659805475	0.012921959842724791
160030	27	7898	-2.817421801134476	0.021150675253861717
210944	25	10472	-2.4740856693583977	0.00027924259958932835
112426	24	6373	-0.7562327327469248	0.002895164791754386
104442	25	5672	-4.11273620811259	0.03475165426429439
128390	25	7133	-0.8332557649278939	0.0034213820885859547
119228	25	6546	-7.085312377134053	0.3494325464387535
179986	27	9114	1.6975790693395143	0.002332057391408597
161992	27	8119	-0.5525844045097923	3.0940376014151156e-05
131518	24	7460	-1.6375809024248777	0.01236821924127746
112620	25	6125	-4.161635085267689	0.002637854995612499
159808	25	8330	-4.113358585562692	0.0005355782545674216
219796	28	10633	-4.386716034014558	0.010767055472204398
148938	25	7936	-2.264855527271241	0.005761441235348357
193988	27	9802	-4.502602155326057	0.0035535914659552597
143584	26	7529	-3.6648314565712794	0.0015989845812521288
155932	26	8010	-2.492885369322776	0.0512198113454152
189464	26	9846	-3.9576051722125403	0.0007871129093860028
116572	24	6457	-2.5122678564869605	0.00016053308290109883
104252	25	5914	-4.6350096026056775	0.09579167519293792
178308	27	8959	-4.027511387302952	0.013127450224819698
101624	25	5796	-4.545519125537375	0.19215555527778447
125098	25	6781	-5.97674062981602	0.005703880357894759
99456	25	5672	-1.4949204462399024	0.007917826949694388
159824	26	8496	-6.251370872980598	0.23830168517789457
135378	25	7521	-5.521581526542005	0.00023431610179906233
149660	26	7763	-1.38862247903512	0.021053626932786403
145458	25	7681	-4.62014667027733	0.16644305558929515
152098	26	8087	-0.533187306891986	0.0220827077250842
153738	25	7858	-4.333919841359157	0.003032200728390415
105540	24	6217	0.4163645186387811	0.004254537304139174
281882	27	13606	-3.849455562784589	0.0019671990704832106
164110	26	8478	-4.879140657190292	0.0002955739249754753
112186	25	6177	-4.472638046395708	2.469824772827377e-05
110396	25	5764	-6.054311107106344	0.28690020340855416
209078	27	9894	-5.517222815457298	0.30877990727695925
147052	26	7812	-5.47623689146586	0.030692652517192352
114088	25	6677	-5.134385844433522	0.14403919432732323
218846	27	10855	-6.072650757135556	0.06500392667648573
173796	27	8674	-1.6986250169207304	0.008214785347562144
160602	27	7925	-1.937632670241477	0.02777466671560322
120876	25	6797	-2.895937800783003	9.213910720412029e-05
143806	24	8106	-1.2919621045454635	0.00514703076897522
79888	23	4870	0.47595425518319784	0.0008749529906162865
141666	25	7778	-1.3480088272684163	0.004067744329397696
124694	26	6710	-2.726352495415348	0.0056436527341881156
202552	24	10844	-3.5862488356419715	0.0008611525890227113
136226	25	7248	-2.2131438145390954	0.0704687053746294
171922	26	8897	-1.839287312746696	0.03724949188034611
214612	27	10823	-3.129807100983623	0.036901865781699565
117264	25	6546	-4.321616199627532	0.023244741190647022
